MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Alberton Tp,SPUZAK,PETER,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Alfred and Plantagenet Tp,Sarrazin,Stephane,MAYOR,"2,074",,ELECTED,NO,NO
Alfred and Plantagenet Tp,Beaulne,Rene,LOCAL COUNCILLOR,"1,070",,ELECTED,YES,NO
Alfred and Plantagenet Tp,Lafrance,Suzanne,LOCAL COUNCILLOR,966,,ELECTED,NO,NO
Alfred and Plantagenet Tp,Laviolette,Yves,LOCAL COUNCILLOR,968,,ELECTED,NO,NO
Alfred and Plantagenet Tp,Galipeau,Chantal,LOCAL COUNCILLOR,779,,ELECTED,YES,NO
Alfred and Plantagenet Tp,Viau,Antoni,LOCAL COUNCILLOR,"1,082",,ELECTED,NO,NO
Alfred and Plantagenet Tp,Walker,Ian,LOCAL COUNCILLOR,977,,ELECTED,NO,NO
Algonquin Highlands Tp,Moffatt,Carol,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Algonquin Highlands Tp,Barry,Lisa,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Algonquin Highlands Tp,Dailloux,Jennifer,LOCAL COUNCILLOR,394,604,ELECTED,NO,NO
Algonquin Highlands Tp,Danielsen,Liz,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Algonquin Highlands Tp,Shortreed,Julia,LOCAL COUNCILLOR,117,389,ELECTED,NO,NO
Alnwick-Haldimand Tp,Logel,John,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Alnwick-Haldimand Tp,Latchford,Gail,DEPUTY MAYOR,"1,036","1,501",ELECTED,YES,NO
Alnwick-Haldimand Tp,Benns,Raymond,LOCAL COUNCILLOR,"1,005","1,505",ELECTED,YES,NO
Alnwick-Haldimand Tp,Filip,Michael,LOCAL COUNCILLOR,967,"1,505",ELECTED,YES,NO
Alnwick-Haldimand Tp,Gibson,Sherry,LOCAL COUNCILLOR,"1,110","1,505",ELECTED,YES,NO
Amaranth Tp,CURRIE,BOB,MAYOR,737,"1,346",ELECTED,NO,NO
Amaranth Tp,GERRITS,CHRIS,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Amaranth Tp,FOSTER,HEATHER,LOCAL COUNCILLOR,775,"3,322",ELECTED,YES,NO
Amaranth Tp,LITTLE,GAIL,LOCAL COUNCILLOR,774,"3,322",ELECTED,YES,NO
Amaranth Tp,TIJSSEN,MARK,LOCAL COUNCILLOR,824,"3,322",ELECTED,NO,NO
Amherstburg T,DiCarlo,Aldo,MAYOR,"4,576","7,302",ELECTED,YES,NO
Amherstburg T,Meloche,Leo,DEPUTY MAYOR,"2,579","7,244",ELECTED,YES,YES
Amherstburg T,Courtney,Peter,LOCAL COUNCILLOR,"2,402","30,476",ELECTED,NO,NO
Amherstburg T,McArthur,Donald,LOCAL COUNCILLOR,"3,505","30,476",ELECTED,NO,NO
Amherstburg T,Prue,Michael,LOCAL COUNCILLOR,"3,011","30,476",ELECTED,NO,NO
Amherstburg T,Renaud,Marc,LOCAL COUNCILLOR,"2,274","30,476",ELECTED,NO,NO
Amherstburg T,Simone,Patricia,LOCAL COUNCILLOR,"2,966","30,476",ELECTED,NO,NO
Armour Tp,MACPHAIL,BOB,REEVE, -   , -   ,ACCLAIMED,YES,NO
Armour Tp,BLAKELOCK,ROB,LOCAL COUNCILLOR,473,"2,268",ELECTED,YES,NO
Armour Tp,BRANDT,JERRY,LOCAL COUNCILLOR,413,"2,268",ELECTED,YES,NO
Armour Tp,WARD,ROD,LOCAL COUNCILLOR,455,"2,268",ELECTED,NO,NO
Armour Tp,WHITWELL,WENDY,LOCAL COUNCILLOR,548,"2,268",ELECTED,NO,NO
Armstrong Tp,Boileau,Jean Marc,MAYOR,340,427,ELECTED,YES,NO
Armstrong Tp,Cull,Theodore,LOCAL COUNCILLOR,270,"1,540",ELECTED,NO,NO
Armstrong Tp,Golcic,Matthew,LOCAL COUNCILLOR,216,"1,540",ELECTED,NO,NO
Armstrong Tp,Léveillé,Kevin,LOCAL COUNCILLOR,350,"1,540",ELECTED,YES,NO
Armstrong Tp,Rivard,Michèle,LOCAL COUNCILLOR,220,"1,540",ELECTED,NO,NO
Arnprior T,STACK,WALTER,MAYOR,"1,921","3,039",ELECTED,YES,NO
Arnprior T,LYNCH,DAN,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Arnprior T,BURNETTE,TOM,LOCAL COUNCILLOR,"1,605","12,928",ELECTED,YES,NO
Arnprior T,GRINSTEAD,LYNN,LOCAL COUNCILLOR,"1,437","12,928",ELECTED,YES,NO
Arnprior T,McGEE,LISA,LOCAL COUNCILLOR,"1,683","12,928",ELECTED,NO,NO
Arnprior T,STRIKE,TED,LOCAL COUNCILLOR,"1,379","12,928",ELECTED,YES,NO
Arnprior T,TONER,CHRIS,LOCAL COUNCILLOR,"1,782","12,928",ELECTED,NO,NO
Arran-Elderslie M,HAMMELL,STEVE,MAYOR,"1,847","2,726",ELECTED,YES,NO
Arran-Elderslie M,DAVIS,MARK,DEPUTY MAYOR,"1,812","2,681",ELECTED,YES,NO
Arran-Elderslie M,NICKASON,RYAN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Arran-Elderslie M,BELL,DOUGLAS R.,LOCAL COUNCILLOR,369,733,ELECTED,YES,NO
Arran-Elderslie M,Dudgeon,Brian,LOCAL COUNCILLOR,218,410,ELECTED,YES,NO
Arran-Elderslie M,KANMACHER,MELISSA,LOCAL COUNCILLOR,288,413,ELECTED,NO,NO
Arran-Elderslie M,GREIG,RYAN,LOCAL COUNCILLOR,295,552,ELECTED,NO,NO
Ashfield-Colborne-Wawanosh Tp,McNeil,Glen,REEVE, -   , -   ,ACCLAIMED,YES,NO
Ashfield-Colborne-Wawanosh Tp,Watt,Roger,DEPUTY REEVE, -   , -   ,ACCLAIMED,YES,NO
Ashfield-Colborne-Wawanosh Tp,Miltenburg,Jennifer,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Ashfield-Colborne-Wawanosh Tp,Fisher,Gloria,LOCAL COUNCILLOR,"1,341","3,762",ELECTED,NO,NO
Ashfield-Colborne-Wawanosh Tp,Snobelen,Anita,LOCAL COUNCILLOR,"1,264","3,762",ELECTED,NO,NO
Ashfield-Colborne-Wawanosh Tp,Vanstone,Bill,LOCAL COUNCILLOR,625,842,ELECTED,NO,NO
Ashfield-Colborne-Wawanosh Tp,Forster,Wayne,LOCAL COUNCILLOR,239,437,ELECTED,NO,NO
Asphodel-Norwood Tp,Bonneau,Rodger,MAYOR,"1,039","1,722",ELECTED,YES,NO
Asphodel-Norwood Tp,Vanderhorst,Bernadette,DEPUTY MAYOR,"1,413","1,690",ELECTED,YES,NO
Asphodel-Norwood Tp,Burtt,Lori,LOCAL COUNCILLOR,"1,313","1,727",ELECTED,NO,NO
Asphodel-Norwood Tp,Warr,Paula,LOCAL COUNCILLOR,"1,089","1,727",ELECTED,NO,NO
Asphodel-Norwood Tp,Archer,Wilburn,LOCAL COUNCILLOR,912,"1,727",ELECTED,NO,NO
Assiginack Tp,HAM,DAVID,MAYOR,329,809,ELECTED,NO,NO
Assiginack Tp,MAGUIRE,ROBERT,LOCAL COUNCILLOR,466,"2,621",ELECTED,NO,NO
Assiginack Tp,MOGGY,HUGH,LOCAL COUNCILLOR,425,"2,621",ELECTED,YES,NO
Assiginack Tp,JONES,CHRISTIANNA,LOCAL COUNCILLOR,389,"2,621",ELECTED,NO,NO
Assiginack Tp,McDOWELL,DAVID,LOCAL COUNCILLOR,347,"2,621",ELECTED,NO,NO
Athens Tp,Scott,Herb,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Athens Tp,Alguire,Darin,LOCAL COUNCILLOR,464,722,ELECTED,YES,NO
Athens Tp,Evans,Todd,LOCAL COUNCILLOR,376,722,ELECTED,NO,NO
Athens Tp,Ferguson,Rhonda,LOCAL COUNCILLOR,494,722,ELECTED,YES,NO
Athens Tp,Kearney,Greg,LOCAL COUNCILLOR,462,722,ELECTED,YES,NO
Athens Tp,Layng,Rob,LOCAL COUNCILLOR,559,722,ELECTED,YES,NO
Athens Tp,Smid,Charles,LOCAL COUNCILLOR,379,722,ELECTED,NO,NO
Atikokan Tp,Brown,Dennis,Mayor, -   , -   ,ACCLAIMED,YES,NO
Atikokan Tp,Burns,Sally E.,LOCAL COUNCILLOR,707,"4,593",ELECTED,NO,NO
Atikokan Tp,Ferguson,Rob,LOCAL COUNCILLOR,626,"4,593",ELECTED,YES,NO
Atikokan Tp,Johnson,Jim,LOCAL COUNCILLOR,697,"4,593",ELECTED,NO,NO
Atikokan Tp,Makarenko,Mary,LOCAL COUNCILLOR,499,"4,593",ELECTED,YES,YES
Atikokan Tp,Shine,Elizabeth,LOCAL COUNCILLOR,747,"4,593",ELECTED,YES,NO
Atikokan Tp,Stimson,Brian,LOCAL COUNCILLOR,518,"4,593",ELECTED,NO,NO
Augusta Tp,Malanka,Doug,MAYOR,"1,491","2,553",ELECTED,YES,NO
Augusta Tp,Shaver,Jeff,DEPUTY MAYOR,935,"2,546",ELECTED,NO,YES
Augusta Tp,Bowman,Michele,LOCAL COUNCILLOR,"1,266","6,439",ELECTED,NO,NO
Augusta Tp,Henry,Tanya,LOCAL COUNCILLOR,"1,288","6,439",ELECTED,NO,NO
Augusta Tp,Schapelhouman,Samantha,LOCAL COUNCILLOR,"1,271","6,439",ELECTED,YES,NO
Aurora T,Mrakas,Tom,MAYOR,"4,781","12,473",ELECTED,YES,NO
Aurora T,Kim,Harold,LOCAL COUNCILLOR,"6,013","55,934",ELECTED,YES,NO
Aurora T,Gaertner,Wendy,LOCAL COUNCILLOR,"5,875","55,934",ELECTED,YES,NO
Aurora T,Humfryes,Sandra,LOCAL COUNCILLOR,"5,456","55,934",ELECTED,YES,NO
Aurora T,Thompson,Michael,LOCAL COUNCILLOR,"4,991","55,934",ELECTED,YES,NO
Aurora T,Gilliland,Rachel,LOCAL COUNCILLOR,"4,800","55,934",ELECTED,NO,NO
Aurora T,Gallo,John,LOCAL COUNCILLOR,"4,781","55,934",ELECTED,NO,NO
Aylmer T,French,Mary,MAYOR,911,"1,495",ELECTED,YES,NO
Aylmer T,Andrews,Sheri,DEPUTY MAYOR,822,"1,492",ELECTED,YES,NO
Aylmer T,Oslach,Arthur,LOCAL COUNCILLOR,700,"6,317",ELECTED,YES,NO
Aylmer T,Chapman,Jamie,LOCAL COUNCILLOR,692,"6,317",ELECTED,NO,NO
Aylmer T,Hamm,Mary,LOCAL COUNCILLOR,690,"6,317",ELECTED,NO,NO
Aylmer T,Barbour,Pete,LOCAL COUNCILLOR,794,"6,317",ELECTED,YES,NO
Aylmer T,Charlton,Tom,LOCAL COUNCILLOR,863,"6,317",ELECTED,NO,NO
Baldwin Tp,Boucher,Jo-Anne,LOCAL COUNCILLOR,148,581,ELECTED,NO,NO
Baldwin Tp,Fairbairn,David,LOCAL COUNCILLOR,114,581,ELECTED,YES,NO
Baldwin Tp,Maltais,Ray,LOCAL COUNCILLOR,128,581,ELECTED,YES,NO
Baldwin Tp,McDowell,Bert,LOCAL COUNCILLOR,131,581,ELECTED,YES,NO
Baldwin Tp,Gorham,Vern,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Bancroft T,Jenkins,Paul,MAYOR,926,"1,553",ELECTED,YES,NO
Bancroft T,Miles,Valerie,LOCAL COUNCILLOR,253,637,ELECTED,NO,NO
Bancroft T,Mullett,Charles,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bancroft T,Wiggins,Wayne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bancroft T,McGibbon,Barry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bancroft T,McGibbon,Tracy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,YES
Bancroft T,Kauffeldt,Andra,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Barrie C,Lehman,Jeff,MAYOR,"24,854","27,321",ELECTED,YES,NO
Barrie C,Riepma,Clare,LOCAL COUNCILLOR,974,"3,279",ELECTED,NO,NO
Barrie C,Aylwin,Keenan,LOCAL COUNCILLOR,"1,766","4,201",ELECTED,NO,NO
Barrie C,Shipley,Doug,LOCAL COUNCILLOR,"1,614","2,306",ELECTED,YES,NO
Barrie C,Ward,Barry,LOCAL COUNCILLOR,"1,477","2,953",ELECTED,YES,NO
Barrie C,Thomson,Robert,LOCAL COUNCILLOR,"1,355","2,454",ELECTED,NO,NO
Barrie C,Harris,Natalie,LOCAL COUNCILLOR,"1,042","2,656",ELECTED,NO,NO
Barrie C,Harvey,Gary,LOCAL COUNCILLOR,"1,066","2,271",ELECTED,NO,NO
Barrie C,Harris,Jim,LOCAL COUNCILLOR,998,"3,242",ELECTED,NO,NO
Barrie C,Morales,Sergio,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Barrie C,McCann,Mike,LOCAL COUNCILLOR,"1,719","2,485",ELECTED,YES,NO
Bayham M,Ketchabaw,Ed,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Bayham M,Weisler,Rainey,DEPUTY MAYOR,551,"1,086",ELECTED,NO,NO
Bayham M,Donnell,Val,LOCAL COUNCILLOR,214,410,ELECTED,NO,NO
Bayham M,Froese,Dan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Bayham M,Chilcott,Susan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Beckwith Tp,KIDD,RICHARD,REEVE, -   , -   ,ACCLAIMED,YES,NO
Beckwith Tp,MOUSSEAU,SHARON,DEPUTY REEVE, -   , -   ,ACCLAIMED,YES,NO
Beckwith Tp,CAMPBELL,FAYE,LOCAL COUNCILLOR,977,"4,660",ELECTED,YES,NO
Beckwith Tp,CAMPBELL,TIM,LOCAL COUNCILLOR,723,"4,660",ELECTED,YES,NO
Beckwith Tp,DOWDALL,BRIAN,COUNCILLOR,"1,155","4,660",ELECTED,YES,NO
Belleville C,Panciuk,Mitch,MAYOR,"5,238","14,527",ELECTED,YES,NO
Belleville C,Williams,Ryan,LOCAL COUNCILLOR,"6,168","53,972",ELECTED,NO,NO
Belleville C,Thompson,Garnet,LOCAL COUNCILLOR,"5,839","53,972",ELECTED,YES,NO
Belleville C,Culhane,Pat,LOCAL COUNCILLOR,"5,594","53,972",ELECTED,NO,NO
Belleville C,Malette,Chris,LOCAL COUNCILLOR,"5,498","53,972",ELECTED,NO,NO
Belleville C,McCaw,Kelly,LOCAL COUNCILLOR,"4,905","53,972",ELECTED,YES,NO
Belleville C,Kelly,Sean,LOCAL COUNCILLOR,"4,713","53,972",ELECTED,NO,NO
Belleville C,Carr,Paul,LOCAL COUNCILLOR,"1,979","5,964",ELECTED,YES,NO
Belleville C,Sandison,Bill,LOCAL COUNCILLOR,"1,201","5,964",ELECTED,NO,NO
Billings Tp,Anderson,J. Ian,MAYOR,399,805,ELECTED,NO,NO
Billings Tp,Alkenbrack,Sharon,LOCAL COUNCILLOR,479,"2,628",ELECTED,YES,NO
Billings Tp,Barker,Bryan,LOCAL COUNCILLOR,543,"2,628",ELECTED,NO,NO
Billings Tp,Hunt,Michael,LOCAL COUNCILLOR,448,"2,628",ELECTED,NO,NO
Billings Tp,Jackson,Sharon,LOCAL COUNCILLOR,469,"2,628",ELECTED,NO,NO
Black River - Matheson Tp,Laderoute,Gilles,Mayor,514,976,ELECTED,YES,NO
Black River - Matheson Tp,Dubien,Willie,LOCAL COUNCILLOR,51,68,ELECTED,NO,NO
Black River - Matheson Tp,Gibson,Jenny,LOCAL COUNCILLOR,133,155,ELECTED,NO,NO
Black River - Matheson Tp,Cumming,Carrie,LOCAL COUNCILLOR,245,379,ELECTED,NO,NO
Black River - Matheson Tp,De Marchi,Dan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Black River - Matheson Tp,Charlebois,Cleo,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Black River - Matheson Tp,Riach,Kyla,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Blandford - Blenheim Tp,Peterson,Mark,MAYOR,"1,850",,ELECTED,YES,NO
Blandford - Blenheim Tp,Balzer,Randy,LOCAL COUNCILLOR,986,,ELECTED,YES,NO
Blandford - Blenheim Tp,Banbury,G. Bruce,LOCAL COUNCILLOR,823,,ELECTED,YES,NO
Blandford - Blenheim Tp,Demarest,Nancy,LOCAL COUNCILLOR,"1,235",,ELECTED,NO,NO
Blandford - Blenheim Tp,Reid,Justin,LOCAL COUNCILLOR,"1,382",,ELECTED,NO,NO
Blind River T,Hagman,Sally,Mayor,858,"1,543",ELECTED,NO,NO
Blind River T,Summers,Paula,LOCAL COUNCILLOR,"1,081","1,543",ELECTED,YES,NO
Blind River T,DUNBAR,Betty Ann,LOCAL COUNCILLOR,"1,078","1,543",ELECTED,NO,NO
Blind River T,DUNBAR,Jim,LOCAL COUNCILLOR,"1,043","1,543",ELECTED,YES,NO
Blind River T,Wells,Steven,LOCAL COUNCILLOR,"1,003","1,543",ELECTED,YES,NO
Blind River T,Roy,H.P.,LOCAL COUNCILLOR,905,"1,543",ELECTED,YES,NO
Blind River T,Spratt,Clifford,LOCAL COUNCILLOR,776,"1,543",ELECTED,YES,NO
Bluewater M,Klopp,Paul,MAYOR,"2,259","3,781",ELECTED,NO,NO
Bluewater M,Fergusson,Jim,DEPUTY MAYOR,"2,184","3,781",ELECTED,YES,NO
Bluewater M,Vanden Berg,Alwyn,LOCAL COUNCILLOR,397,653,ELECTED,NO,NO
Bluewater M,Harris,Scott,LOCAL COUNCILLOR,229,350,ELECTED,NO,NO
Bluewater M,Walden,Peter,LOCAL COUNCILLOR,324,548,ELECTED,NO,NO
Bluewater M,Irvin,George,LOCAL COUNCILLOR,250,489,ELECTED,YES,NO
Bluewater M,Whetstone,Bill,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bluewater M,Becker,John,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bluewater M,LaPorte,Shawn,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Bonfield Tp,MCLAREN,RANDALL,MAYOR,408,408,ELECTED,YES,NO
Bonfield Tp,BEAUDOIN,SYLVIE,LOCAL COUNCILLOR,474,474,ELECTED,YES,NO
Bonfield Tp,FOISY,ERIC,LOCAL COUNCILLOR,461,461,ELECTED,YES,NO
Bonfield Tp,LAGASSIE,JANE,LOCAL COUNCILLOR,468,468,ELECTED,YES,NO
Bonfield Tp,VAILLANCOURT,MARC,LOCAL COUNCILLOR,455,455,ELECTED,YES,NO
Bonnechere Valley Tp,Murphy,Jennifer,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Bonnechere Valley Tp,Patrick,Brent,LOCAL COUNCILLOR,288,507,ELECTED,NO,NO
Bonnechere Valley Tp,Schison,Tim,LOCAL COUNCILLOR,402,758,ELECTED,NO,NO
Bonnechere Valley Tp,Roesner,Jack,LOCAL COUNCILLOR,277,469,ELECTED,NO,NO
Bonnechere Valley Tp,Buckwald,Mervin,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bracebridge T,Smith,Graydon,MAYOR,"4,457","5,874",ELECTED,YES,NO
Bracebridge T,Clement,Steven,LOCAL AND DISTRICT COUNCILLOR,"4,195","14,527",ELECTED,YES,NO
Bracebridge T,Maloney,Rick,LOCAL AND DISTRICT COUNCILLOR,"4,258","14,527",ELECTED,YES,NO
Bracebridge T,Smith,Don,LOCAL AND DISTRICT COUNCILLOR,"4,325","14,527",ELECTED,YES,NO
Bracebridge T,Wilson,Chris,LOCAL COUNCILLOR,766,"1,216",ELECTED,YES,NO
Bracebridge T,Quemby,Mark,LOCAL COUNCILLOR,"1,206","1,969",ELECTED,YES,NO
Bracebridge T,Struthers,Andrew,LOCAL COUNCILLOR,514,"1,764",ELECTED,NO,NO
Bracebridge T,Buie,Archie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bracebridge T,McMurray,Barb,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Bradford-West Gwillimbury T,Keffer,Rob,MAYOR,"7,283","8,112",ELECTED,YES,NO
Bradford-West Gwillimbury T,Leduc,James,DEPUTY MAYOR,"6,875","8,092",ELECTED,YES,NO
Bradford-West Gwillimbury T,Sandhu,Raj,LOCAL COUNCILLOR,901,"1,476",ELECTED,YES,NO
Bradford-West Gwillimbury T,Baynes,Gary,LOCAL COUNCILLOR,700,"1,070",ELECTED,YES,NO
Bradford-West Gwillimbury T,Lamb,Gary,LOCAL COUNCILLOR,410,637,ELECTED,YES,NO
Bradford-West Gwillimbury T,Orr,Ron,LOCAL COUNCILLOR,523,"1,288",ELECTED,YES,NO
Bradford-West Gwillimbury T,Ferragine,Peter,LOCAL COUNCILLOR,"1,045","1,474",ELECTED,YES,NO
Bradford-West Gwillimbury T,Contois,Mark,LOCAL COUNCILLOR,495,860,ELECTED,YES,NO
Bradford-West Gwillimbury T,Dykie,Peter,LOCAL COUNCILLOR,765,"1,347",ELECTED,YES,NO
Brampton C,Brown,Patrick,Mayor,"46,894","105,553",ELECTED,NO,NO
Brampton C,Vincente,Paul,LOCAL AND REGIONAL COUNCILLOR,"7,593","17,390",ELECTED,NO,NO
Brampton C,Palleschi,Michael Paul,LOCAL AND REGIONAL COUNCILLOR,"7,340","20,645",ELECTED,YES,NO
Brampton C,Medeiros,Martin,LOCAL AND REGIONAL COUNCILLOR,"7,551","19,447",ELECTED,YES,NO
Brampton C,Fortini,Pat,LOCAL AND REGIONAL COUNCILLOR,"10,299","19,560",ELECTED,YES,NO
Brampton C,Dhillon,Gurpreet Singh,LOCAL AND REGIONAL COUNCILLOR,"14,330","25,840",ELECTED,YES,NO
Brampton C,Santos,Rowena,LOCAL COUNCILLOR,"7,160","17,320",ELECTED,NO,NO
Brampton C,Whillans,Doug,LOCAL COUNCILLOR,"5,968","20,585",ELECTED,YES,NO
Brampton C,Bowman,Jeff,LOCAL COUNCILLOR,"9,950","19,090",ELECTED,YES,NO
Brampton C,Williams,Charmaine,LOCAL COUNCILLOR,"5,086","19,741",ELECTED,NO,NO
Brampton C,Singh,Harkirat,LOCAL COUNCILLOR,"10,804","25,203",ELECTED,NO,NO
Brant County,Bailey,David,MAYOR,"4,478","9,411",ELECTED,NO,NO
Brant County,Wheat,John,COUNTY COUNCILLOR,"1,254","3,770",ELECTED,YES,NO
Brant County,MacAlpine,John,COUNTY COUNCILLOR,"1,148","3,770",ELECTED,NO,NO
Brant County,Laferriere,Marc,COUNTY COUNCILLOR,"1,378","4,051",ELECTED,NO,NO
Brant County,Howes,Steve,COUNTY COUNCILLOR,"1,211","4,051",ELECTED,NO,NO
Brant County,Peirce,John,COUNTY COUNCILLOR,850,"3,148",ELECTED,YES,NO
Brant County,Bell,John,COUNTY COUNCILLOR,642,"3,148",ELECTED,NO,NO
Brant County,Chambers,Robert,COUNTY COUNCILLOR,"1,061","2,833",ELECTED,YES,NO
Brant County,Miller,David,COUNTY COUNCILLOR,960,"2,833",ELECTED,YES,NO
Brant County,Coleman,Brian,COUNTY COUNCILLOR,"1,067","3,301",ELECTED,YES,NO
Brant County,Gatward,Joan,COUNTY COUNCILLOR,994,"3,301",ELECTED,YES,NO
